timestamp,session_id,caller,model,prompt_tokens,completion_tokens,total_tokens,cost_usd
2026-04-15T06:04:34.838719+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,299,2,301,0.00012280
2026-04-15T06:04:35.886943+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,447,94,541,0.00032920
2026-04-15T06:04:42.344715+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,829,486,1315,0.00110920
2026-04-15T06:04:43.265597+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,354,30,384,0.00018960
2026-04-15T06:04:44.276022+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,267,17,284,0.00013400
2026-04-15T06:05:23.788393+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,332,2,334,0.00013600
2026-04-15T06:05:24.532082+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,531,65,596,0.00031640
2026-04-15T06:05:31.436867+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,851,439,1290,0.00104280
2026-04-15T06:05:32.404714+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,370,36,406,0.00020560
2026-04-15T06:05:33.192650+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,286,20,306,0.00014640
2026-04-15T06:07:47.343020+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,478,1,479,0.00019280
2026-04-15T06:07:47.374089+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,260,2,262,0.00010720
2026-04-15T06:07:55.724231+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,875,407,1282,0.00100120
2026-04-15T06:07:56.970786+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,373,36,409,0.00020680
2026-04-15T06:07:58.104222+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,286,17,303,0.00014160
2026-04-15T06:08:26.532088+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,305,2,307,0.00012520
2026-04-15T06:08:27.657858+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,523,80,603,0.00033720
2026-04-15T06:08:34.128238+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,893,459,1352,0.00109160
2026-04-15T06:08:35.892669+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,418,51,469,0.00024880
2026-04-15T06:08:37.612833+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,324,17,341,0.00015680
2026-04-15T06:09:31.596684+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,263,2,265,0.00010840
2026-04-15T06:09:31.977298+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,517,1,518,0.00020840
2026-04-15T06:09:39.387829+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,926,447,1373,0.00108560
2026-04-15T06:09:40.557351+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,414,49,463,0.00024400
2026-04-15T06:09:41.318781+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,324,18,342,0.00015840
2026-04-15T06:09:51.780045+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,262,2,264,0.00010800
2026-04-15T06:09:52.106955+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,516,29,545,0.00025280
2026-04-15T06:09:59.234767+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,876,463,1339,0.00109120
2026-04-15T06:10:00.513601+00:00,25eb62bb17fc4a0c8e020463ea5525b5,response_generator,gpt-4.1-mini,406,38,444,0.00022320
2026-04-15T06:10:01.377833+00:00,25eb62bb17fc4a0c8e020463ea5525b5,safety.escalation_check,gpt-4.1-mini,324,21,345,0.00016320
2026-04-15T06:10:34.857960+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,262,2,264,0.00010800
2026-04-15T06:10:35.039470+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,516,30,546,0.00025440
2026-04-15T06:10:41.581468+00:00,25eb62bb17fc4a0c8e020463ea5525b5,clinical_reasoner,gpt-4.1-mini,864,478,1342,0.00111040
2026-04-15T06:10:47.002270+00:00,25eb62bb17fc4a0c8e020463ea5525b5,summarizer,gpt-4.1-mini,491,367,858,0.00078360
2026-04-15T06:10:54.821004+00:00,25eb62bb17fc4a0c8e020463ea5525b5,intent_classifier,gpt-4.1-mini,260,1,261,0.00010560
2026-04-15T06:10:54.926179+00:00,25eb62bb17fc4a0c8e020463ea5525b5,fact_extractor,gpt-4.1-mini,517,1,518,0.00020840
