session_id,domain_id,start_time,end_time,total_calls,total_prompt_tokens,total_completion_tokens,total_tokens,total_cost_usd
64a483896852490b8a82e638652689c6,general_medicine,2026-04-14T05:25:38.608671+00:00,2026-04-14T05:29:29.234077+00:00,19,4769,2305,7074,0.00559560
aa4f777e5b0e439c93dd8b68ba8ddb78,general_medicine,2026-04-14T07:12:19.417142+00:00,2026-04-14T07:21:47.553040+00:00,86,28737,8584,37321,0.02522920
0aeb7ea6777e45a1a76565b5f15ff36a,general_medicine,2026-04-15T04:18:48.586372+00:00,2026-04-15T04:31:37.854567+00:00,59,21949,6579,28528,0.01930600
25eb62bb17fc4a0c8e020463ea5525b5,general_medicine,2026-04-15T05:45:45.986082+00:00,2026-04-15T06:10:54.956193+00:00,66,27750,7522,35272,0.02313520
